Species	Chemical Name	Freq-GHz	Freq Er		Resolved QNs	Log<sub>10</sub> (A<sub>ij</sub>)	E_L (cm^-1)	E_L (K)	E_U (cm^-1)	E_U (K)	Linelist
CH3CHOv=0	Acetaldehyde	691.31971	0.0017906	42(8,35)-42(7,36)A	-2.54785	657.85341	946.49887	680.91335	979.67679	JPL
CH3CHOv=0	Acetaldehyde	691.42529	0.0017362	42(8,34)-42(7,36)E	-2.83472	657.88111	946.53872	680.94458	979.72171	JPL	
CH3CHOv=0	Acetaldehyde	691.58404	0.0001487	21(3,18)-20(2,19)E	-3.44041	140.51260	202.16513	163.58136	235.35573	JPL
CH3CHOv=0	Acetaldehyde	691.64754	0.0022347	19(12,7)-20(11,10)A	-3.98527	324.25280	466.52477	347.32368	499.71842	JPL
CH3CHOv=0	Acetaldehyde	691.64754	0.0022347	19(12,8)-20(11,9)A	-3.98527	324.25280	466.52477	347.32368	499.71842	JPL
CH3CHOv=0	Acetaldehyde	691.73012	0.0016685	41(8,34)-41(7,34)E	-2.73021	630.82911	907.61715	653.90274	940.81477	JPL
CH3CHOv=0	Acetaldehyde	691.88778	3.56E-5	14(5,10)-13(4,9)A	-3.04942	83.67630	120.39084	106.75519	153.59602	JPL
CH3CHOv=0	Acetaldehyde	691.91815	0.0042307	36(19,18)-35(19,17)E	-1.55945	967.12681	1391.47174	990.20672	1424.67839	JPL
CH3CHOv=0	Acetaldehyde	691.92965	3.56E-5	14(5,9)-13(4,10)A	-3.04940	83.67490	120.38882	106.75519	153.59602	JPL
CH3CHOv=0	Acetaldehyde	691.95646	0.0039337	36(19,17)-35(19,16)E	-1.55955	967.16121	1391.52124	990.24239	1424.72972	JPL
CH3CHOv=0	Acetaldehyde	692.02117	0.0040691	36(19,17)-35(19,16)A	-1.55937	967.13231	1391.47966	990.21565	1424.69125	JPL
CH3CHOv=0	Acetaldehyde	692.02117	0.0040691	36(19,18)-35(19,17)A	-1.55937	967.13231	1391.47966	990.21565	1424.69125	JPL
CH3CHOv=0	Acetaldehyde	692.06075	0.0016679	41(8,34)-41(7,35)E	-2.97282	630.81811	907.60133	653.90277	940.81481	JPL
CH3CHOv=0	Acetaldehyde	692.06552	0.0032085	36(18,19)-35(18,18)E	-1.54247	909.79291	1308.98153	932.87773	1342.19524	JPL
CH3CHOv=0	Acetaldehyde	692.10364	0.0016124	41(8,33)-41(7,34)A	-2.53352	630.80221	907.57845	653.88830	940.79400	JPL
CH3CHOv=0	Acetaldehyde	692.13516	0.0031158	36(18,18)-35(18,17)E	-1.54239	909.80801	1309.00325	932.89515	1342.22031	JPL
