Species	Chemical Name	Freq-GHz	Freq Err	Resolved QNs	Log<sub>10</sub> (A<sub>ij</sub>)	E_L (cm^-1)	E_L (K)	E_U (cm^-1)	E_U (K)	Linelist
CH3CHOv=0	Acetaldehyde	690.40239	0.0003935	26(5,21)-26(3,23)E	-4.58289	242.13031	348.36950	265.15965	381.50340	JPL
CH3CHOv=0	Acetaldehyde	690.45052	0.0018801	42(8,35)-42(7,35)E	-2.83664	657.89571	946.55973	680.92666	979.69594	JPL
CH3CHOv=0	Acetaldehyde	690.56130	6.86E-5	9(6,3)-8(5,3)E	-2.87571	62.33420	89.68449	85.36885	122.82602	JPL
CH3CHOv=0	Acetaldehyde	690.56132	0.0022413	19(12,7)-20(11,9)E	-3.98709	324.29650	466.58764	347.33115	499.72917	JPL
CH3CHOv=0	Acetaldehyde	690.56227	0.0022288	19(12,8)-20(11,10)E	-3.98722	324.23660	466.50146	347.27128	499.64303	JPL
CH3CHOv=0	Acetaldehyde	690.88695	0.00186	42(8,35)-42(7,36)E	-2.86368	657.88111	946.53872	680.92662	979.69588	JPL
CH3CHOv=0	Acetaldehyde	690.90732	0.0018145	42(8,34)-42(7,35)A	-2.54860	657.86791	946.51973	680.91410	979.67786	JPL
CH3CHOv=0	Acetaldehyde	690.95048	0.0018189	37(1,36)-36(2,35)E	-2.33196	427.68821	615.34439	450.73584	648.50460	JPL
CH3CHOv=0	Acetaldehyde	690.98886	0.0017624	42(8,34)-42(7,35)E	-2.86338	657.89571	946.55973	680.94462	979.72177	JPL
CH3CHOv=0	Acetaldehyde	691.00316	0.0018219	37(1,36)-36(2,35)A	-2.32979	427.70591	615.36986	450.75529	648.53259	JPL
CH3CHOv=0	Acetaldehyde	691.14518	1.34E-5	13(3,11)-12(0,12)E	-4.97611	49.61970	71.39127	72.67382	104.56082	JPL
CH3CHOv=0	Acetaldehyde	691.18553	3.47E-5	14(5,10)-13(4,9)E	-3.05168	83.63240	120.32768	106.68787	153.49916	JPL
