Species	Chemical Name	Freq-GHz	Freq Err	Resolved QNs	Log<sub>10</sub> (A<sub>ij</sub>)	E_L (cm^-1)	E_L (K)	E_U (cm^-1)	E_U (K)	Linelist
CH3CHOv=0	Acetaldehyde	687.45003	0.0034342	24(13,12)-25(12,14)E	-3.85169	434.00480	624.43250	456.93566	657.42471	JPL
CH3CHOv=0	Acetaldehyde	687.52140	0.002379	44(8,37)-44(7,37)E	-2.96718	713.97711	1027.24789	736.91036	1060.24352	JPL
CH3CHOv=0	Acetaldehyde	687.54271	0.0015613	36(3,34)-35(3,33)E	-1.43088	418.48711	602.10614	441.42107	635.10280	JPL
CH3CHOv=0	Acetaldehyde	687.55291	0.0015621	36(3,34)-35(3,33)A	-1.43092	418.51251	602.14268	441.44681	635.13983	JPL
CH3CHOv=0	Acetaldehyde	687.60542	0.0024972	45(8,38)-45(7,39)A	-2.58704	742.92511	1068.89737	765.86116	1101.89703	JPL
CH3CHOv=0	Acetaldehyde	687.72122	0.0024071	45(8,37)-45(7,39)E	-2.99960	742.95601	1068.94182	765.89592	1101.94705	JPL
CH3CHOv=0	Acetaldehyde	687.74951	0.003444	24(13,11)-25(12,14)A	-3.85110	434.04840	624.49523	456.98925	657.50182	JPL
CH3CHOv=0	Acetaldehyde	687.74951	0.003444	24(13,12)-25(12,13)A	-3.85110	434.04840	624.49523	456.98925	657.50182	JPL
CH3CHOv=0	Acetaldehyde	688.15810	0.0022998	44(8,36)-44(7,37)A	-2.57611	713.94691	1027.20444	736.90139	1060.23063	JPL
CH3CHOv=0	Acetaldehyde	688.21350	0.0022322	44(8,36)-44(7,37)E	-2.80301	713.97711	1027.24789	736.93344	1060.27674	JPL
CH3CHOv=0	Acetaldehyde	688.33755	0.0023109	44(8,37)-44(7,38)E	-2.80289	713.94991	1027.20876	736.91038	1060.24356	JPL
