Species	Chemical Name	Freq-GHz	Freq Err	Resolved QNs	Log<sub>10</sub> (A<sub>ij</sub>)	E_L (cm^-1)	E_L (K)	E_U (cm^-1)	E_U (K)	Linelist
CH3OCHOv=0	Methyl Formate	704.19388	4.8E-6	18(18,0)-17(17,1)A	-3.05846	195.95050	281.92744	219.43988	315.72322	JPL
CH3OCHOv=0	Methyl Formate	704.19388	4.8E-6	18(18,1)-17(17,0)A	-3.05846	195.95050	281.92744	219.43988	315.72322	JPL
CH3OCHOv=0	Methyl Formate	704.21060	6.0E-6	18(18,1)-17(17,1)E	-3.05848	195.93660	281.90744	219.42654	315.70402	JPL
CH3OCHOv=0	Methyl Formate	704.31369	3.5E-6	33(7,26)-32(6,27)E	-3.62532	235.13091	338.29898	258.62429	372.10052	JPL
CH3OCHOv=0	Methyl Formate	704.44361	3.5E-6	33(7,26)-32(6,27)A	-3.62553	235.13441	338.30402	258.63212	372.11179	JPL
CH3OCHOv=0	Methyl Formate	704.49974	2.8E-6	22(9,13)-21(7,14)A	-4.86736	117.84080	169.54565	141.34038	203.35611	JPL
CH3OCHOv=0	Methyl Formate	704.52686	1.57E-5	52(15,37)-52(13,40)A	-3.22713	648.59412	933.17689	672.09461	966.98866	JPL
CH3OCHOv=0	Methyl Formate	704.61596	4.2E-6	34(14,21)-34(12,22)A	-4.36651	311.23751	447.79878	334.74097	481.61481	JPL
CH3OCHOv=0	Methyl Formate	704.62144	4.2E-6	34(14,20)-34(12,23)A	-4.36651	311.23731	447.79849	334.74095	481.61479	JPL
CH3OCHOv=0	Methyl Formate	704.63766	4.6E-6	34(14,20)-34(12,22)E	-4.36740	311.23731	447.79849	334.74149	481.61557	JPL
CH3OCHOv=0	Methyl Formate	704.65760	4.6E-6	34(14,21)-34(12,23)E	-4.36709	311.23401	447.79374	334.73886	481.61178	JPL
CH3OCHOv=0	Methyl Formate	704.77483	2.12E-5	57(20,37)-56(20,36)E	-1.43651	839.86242	1208.36773	863.37118	1242.19139	JPL
CH3OCHOv=0	Methyl Formate	704.77787	2.14E-5	57(20,38)-56(20,37)E	-1.43642	839.85862	1208.36226	863.36748	1242.18607	JPL
CH3OCHOv=0	Methyl Formate	704.77965	2.14E-5	57(20,38)-56(20,37)A	-1.43643	839.85272	1208.35377	863.36164	1242.17767	JPL
CH3OCHOv=0	Methyl Formate	704.77967	2.15E-5	57(20,37)-56(20,36)A	-1.43643	839.85272	1208.35377	863.36164	1242.17767	JPL
CH3OCHOv=0	Methyl Formate	705.06912	3.5E-6	34(8,26)-33(6,27)E	-3.66462	254.29251	365.86809	277.81108	399.70588	JPL
CH3OCHOv=0	Methyl Formate	705.08183	3.5E-6	34(8,26)-33(6,27)A	-3.66420	254.29921	365.87773	277.81821	399.71613	JPL
