Species	Chemical Name	Freq-GHz	Freq Err	Resolved QNs	Log<sub>10</sub> (A<sub>ij</sub>)	E_L (cm^-1)	E_L (K)	E_U (cm^-1)	E_U (K)	Linelist
CH3OCHOv=0	Methyl Formate	689.42981	4.6E-6	33(11,22)-32(10,23)E	-3.12823	263.87571	379.65610	286.87261	412.74333	JPL
CH3OCHOv=0	Methyl Formate	689.43457	3.13E-5	56(24,33)-55(24,32)E	-1.44089	896.63912	1290.05627	919.63618	1323.14372	JPL
CH3OCHOv=0	Methyl Formate	689.43489	3.12E-5	56(24,32)-55(24,31)A	-1.44080	896.63292	1290.04735	919.62999	1323.13481	JPL
CH3OCHOv=0	Methyl Formate	689.43489	3.12E-5	56(24,33)-55(24,32)A	-1.44080	896.63292	1290.04735	919.62999	1323.13481	JPL
CH3OCHOv=0	Methyl Formate	689.43510	3.1E-5	56(24,32)-55(24,31)E	-1.44088	896.64162	1290.05986	919.63870	1323.14734	JPL
CH3OCHOv=0	Methyl Formate	689.68111	5.6E-6	40(14,27)-40(12,28)A	-4.35650	404.68651	582.25027	427.69180	615.34955	JPL
CH3OCHOv=0	Methyl Formate	689.81902	6.7E-6	40(14,26)-40(12,28)E	-4.42280	404.68591	582.24940	427.69580	615.35531	JPL
CH3OCHOv=0	Methyl Formate	689.81905	7.78E-5	64(13,51)-63(14,50)E	-3.21838	927.51162	1334.47465	950.52151	1367.58055	JPL
CH3OCHOv=0	Methyl Formate	689.83453	7.58E-5	64(13,51)-63(14,50)A	-3.21798	927.51042	1334.47292	950.52082	1367.57957	JPL
CH3OCHOv=0	Methyl Formate	689.91692	5.6E-6	40(14,26)-40(12,29)A	-4.35616	404.67871	582.23905	427.69186	615.34965	JPL
CH3OCHOv=0	Methyl Formate	689.93538	1.23E-5	63(2,61)-62(2,60)E	-1.56895	738.49952	1062.52997	761.51329	1095.64145	JPL
CH3OCHOv=0	Methyl Formate	689.93538	1.23E-5	63(3,61)-62(3,60)E	-1.56895	738.49952	1062.52997	761.51329	1095.64145	JPL
CH3OCHOv=0	Methyl Formate	689.93979	6.2E-6	40(14,27)-40(12,29)E	-4.42255	404.67461	582.23315	427.68852	615.34485	JPL
CH3OCHOv=0	Methyl Formate	689.94257	1.23E-5	63(2,61)-62(2,60)A	-1.56784	738.50332	1062.53543	761.51733	1095.64726	JPL
CH3OCHOv=0	Methyl Formate	689.94257	1.23E-5	63(3,61)-62(3,60)A	-1.56784	738.50332	1062.53543	761.51733	1095.64726	JPL
CH3OCHOv=0	Methyl Formate	689.95459	2.72E-5	56(23,34)-55(23,33)E	-1.43223	875.23242	1259.25698	898.24683	1292.36939	JPL
CH3OCHOv=0	Methyl Formate	689.95508	2.71E-5	56(23,33)-55(23,32)E	-1.43223	875.23352	1259.25856	898.24794	1292.37099	JPL
CH3OCHOv=0	Methyl Formate	689.95541	2.72E-5	56(23,33)-55(23,32)A	-1.43224	875.22502	1259.24633	898.23946	1292.35878	JPL
CH3OCHOv=0	Methyl Formate	689.95541	2.72E-5	56(23,34)-55(23,33)A	-1.43224	875.22502	1259.24633	898.23946	1292.35878	JPL
CH3OCHOv=0	Methyl Formate	690.24632	9.4E-6	56(10,47)-55(9,46)A	-2.53274	685.58282	986.39508	708.60696	1019.52148	JPL
CH3OCHOv=0	Methyl Formate	690.26395	9.5E-6	56(10,47)-55(9,46)E	-2.53334	685.57642	986.38587	708.60115	1019.51312	JPL
CH3OCHOv=0	Methyl Formate	690.26491	4.1E-6	38(10,29)-37(9,28)A	-3.22931	329.83871	474.56160	352.86347	507.68890	JPL
CH3OCHOv=0	Methyl Formate	690.33260	4.1E-6	38(10,29)-37(9,28)E	-3.22938	329.83141	474.55110	352.85843	507.68165	JPL
